urn:cts:latinLit:phi0893.phi0011.12.14	laudibus, qui res hominum ac deorum,
urn:cts:latinLit:phi0893.phi0011.12.15	qui mare ac terras variisque mundum
urn:cts:latinLit:phi0893.phi0011.12.16	temperat horis?
urn:cts:latinLit:phi0893.phi0011.12.17	unde nil maius generatur ipso
urn:cts:latinLit:phi0893.phi0011.12.18	nec viget quidquam simile aut secundum.
urn:cts:latinLit:phi0893.phi0011.12.19	proximos illi tamen occupavit
urn:cts:latinLit:phi0893.phi0011.12.20	Pallas honores
urn:cts:latinLit:phi0893.phi0011.12.21	proeliis audax. neque te silebo,
urn:cts:latinLit:phi0893.phi0011.12.22	Liber et saevis inimica virgo
urn:cts:latinLit:phi0893.phi0011.12.23	beluis, nec te, metuende certa
urn:cts:latinLit:phi0893.phi0011.12.24	Phoebe sagitta.
urn:cts:latinLit:phi0893.phi0011.12.25	dicam et Alciden puerosque Ledae,
urn:cts:latinLit:phi0893.phi0011.12.26	hunc equis, illum superare pugnis
urn:cts:latinLit:phi0893.phi0011.12.27	nobilem; quorum simul alba nautis
urn:cts:latinLit:phi0893.phi0011.12.28	stella refulsit,
urn:cts:latinLit:phi0893.phi0011.12.29	defluit saxis agitatus umor,
urn:cts:latinLit:phi0893.phi0011.12.30	concidunt venti fugiuntque nubes
urn:cts:latinLit:phi0893.phi0011.12.31	et minax, quia sic voluere, ponto
urn:cts:latinLit:phi0893.phi0011.12.32	unda recumbit.
urn:cts:latinLit:phi0893.phi0011.12.33	Romulum post hos prius an quietum
urn:cts:latinLit:phi0893.phi0011.12.34	Pompili regnum memorem, an superbos
urn:cts:latinLit:phi0893.phi0011.12.35	Tarquini fascis, dubito, an Catonis
urn:cts:latinLit:phi0893.phi0011.12.36	nobile letum:
urn:cts:latinLit:phi0893.phi0011.12.37	Regulum et Scauros animaeque magnae
urn:cts:latinLit:phi0893.phi0011.12.38	prodigum Paulum superante Poeno
urn:cts:latinLit:phi0893.phi0011.12.39	gratus insigni referam camena
urn:cts:latinLit:phi0893.phi0011.12.40	Fabriciumque.
urn:cts:latinLit:phi0893.phi0011.12.41	hunc et incomptis Curium capillis
urn:cts:latinLit:phi0893.phi0011.12.42	utilem bello tulit et Camillum
urn:cts:latinLit:phi0893.phi0011.12.43	saeva paupertas et avitus apto
urn:cts:latinLit:phi0893.phi0011.12.44	cum lare fundus.
urn:cts:latinLit:phi0893.phi0011.12.45	crescit occulto velut arbor aevo
urn:cts:latinLit:phi0893.phi0011.12.46	fama Marcelli; micat inter omnis
urn:cts:latinLit:phi0893.phi0011.12.47	Iulium sidus velut inter ignis
urn:cts:latinLit:phi0893.phi0011.12.48	luna minores.
urn:cts:latinLit:phi0893.phi0011.12.49	gentis humanae pater atque custos,
urn:cts:latinLit:phi0893.phi0011.12.50	orte Saturno, tibi cura magni
urn:cts:latinLit:phi0893.phi0011.12.51	Caesaris fatis data: tu secundo
urn:cts:latinLit:phi0893.phi0011.12.52	Caesare regnes.
urn:cts:latinLit:phi0893.phi0011.12.53	ille seu Parthos Latio imminentis
urn:cts:latinLit:phi0893.phi0011.12.54	egerit iusto domitos triumpho
urn:cts:latinLit:phi0893.phi0011.12.55	sive subiectos Orientis orae
urn:cts:latinLit:phi0893.phi0011.12.56	Seras et Indos,
urn:cts:latinLit:phi0893.phi0011.12.57	te minor latum reget aequos orbem:
urn:cts:latinLit:phi0893.phi0011.12.58	tu gravi curru quaties Olympum,
urn:cts:latinLit:phi0893.phi0011.12.59	tu parum castis inimica mittes
urn:cts:latinLit:phi0893.phi0011.12.60	fulmina lucis.

urn:cts:latinLit:phi0893.phi0011.13.1	Cum tu, Lydia, Telephi
urn:cts:latinLit:phi0893.phi0011.13.2	cervicem roseam, cerea Telephi
urn:cts:latinLit:phi0893.phi0011.13.3	laudas bracchia, vae, meum
urn:cts:latinLit:phi0893.phi0011.13.4	fervens difficili bile tumet iecur.
urn:cts:latinLit:phi0893.phi0011.13.5	tum nec mens mihi nec color
urn:cts:latinLit:phi0893.phi0011.13.6	certa sede manet, umor et in genas
